# temperature = 270 K
# h0 = 2 km
# humidity = 20
# pressure = 560 mbar
# atmType = 1
# altitude = 5000 m
             0.500000000 1.000000000 2.000000000 3.000000000 4.000000000 5.000000000
30.000000000 0.990470893 0.989886810 0.988719676 0.987553918 0.986389535 0.985226524
30.100000000 0.990357047 0.989775955 0.988614794 0.987454995 0.986296557 0.985139478
30.200000000 0.990314003 0.989735694 0.988580087 0.987425830 0.986272920 0.985121357
30.300000000 0.990411806 0.989836035 0.988685499 0.987536299 0.986388436 0.985241906
30.400000000 0.990379039 0.989805731 0.988660109 0.987515813 0.986372842 0.985231193
30.500000000 0.990272641 0.989701689 0.988560772 0.987421170 0.986282882 0.985145907
30.600000000 0.990265971 0.989697176 0.988560566 0.987425262 0.986291261 0.985158563
30.700000000 0.990233271 0.989666513 0.988533969 0.987402721 0.986272767 0.985144107
30.800000000 0.990180612 0.989615771 0.988487055 0.987359626 0.986233483 0.985108625
30.900000000 0.990121041 0.989557996 0.988432865 0.987309013 0.986186440 0.985065142
31.000000000 0.990059079 0.989497710 0.988375926 0.987255414 0.986136172 0.985018199
31.100000000 0.989994551 0.989434743 0.988316078 0.987198677 0.986082540 0.984967665
31.200000000 0.989928241 0.989369884 0.988254116 0.987139607 0.986026354 0.984914357
31.300000000 0.989860516 0.989303504 0.988190420 0.987078589 0.985968008 0.984858677
31.400000000 0.989791708 0.989235937 0.988125332 0.987015974 0.985907862 0.984800993
31.500000000 0.989721679 0.989167051 0.988058727 0.986951645 0.985845803 0.984741200
31.600000000 0.989650546 0.989096964 0.987990730 0.986885734 0.985781973 0.984679446
31.700000000 0.989578332 0.989025705 0.987921377 0.986818282 0.985716419 0.984615786
31.800000000 0.989505086 0.988953325 0.987850725 0.986749355 0.985649212 0.984550296
31.900000000 0.989430752 0.988879770 0.987778728 0.986678911 0.985580318 0.984482949
32.000000000 0.989355195 0.988804911 0.987705259 0.986606831 0.985509624 0.984413637
32.100000000 0.989276200 0.988726534 0.987628116 0.986530920 0.985434941 0.984340181
32.200000000 0.989201667 0.988652538 0.987555194 0.986459069 0.985364159 0.984270466
32.300000000 0.989123824 0.988575159 0.987478742 0.986383540 0.985289554 0.984196780
32.400000000 0.989044732 0.988496459 0.987400824 0.986306403 0.985213195 0.984121199
32.500000000 0.988964484 0.988416532 0.987321539 0.986227759 0.985135191 0.984043833
32.600000000 0.988883043 0.988335345 0.987240859 0.986147585 0.985055522 0.983964668
32.700000000 0.988800246 0.988252736 0.987158626 0.986065727 0.984974039 0.983883559
32.800000000 0.988716830 0.988169444 0.987075583 0.985982932 0.984891491 0.983801258
32.900000000 0.988632907 0.988085584 0.986991847 0.985899321 0.984808004 0.983717896
33.000000000 0.988547683 0.988000363 0.986906632 0.985814111 0.984722800 0.983632698
33.100000000 0.988461167 0.987913792 0.986819951 0.985727321 0.984635901 0.983545689
33.200000000 0.988373352 0.987825865 0.986731802 0.985638950 0.984547309 0.983456877
33.300000000 0.988284757 0.987737104 0.986642709 0.985549527 0.984457556 0.983366795
33.400000000 0.988194792 0.987646921 0.986552089 0.985458470 0.984366064 0.983274869
33.500000000 0.988103326 0.987555184 0.986459812 0.985365656 0.984272713 0.983180982
33.600000000 0.988011249 0.987462786 0.986366775 0.985271979 0.984178399 0.983086033
33.700000000 0.987918262 0.987369430 0.986272681 0.985177150 0.984082836 0.982989738
33.800000000 0.987823866 0.987274618 0.986177037 0.985080676 0.983985535 0.982891611
33.900000000 0.987728167 0.987178457 0.986079953 0.984982671 0.983886611 0.982791770
34.000000000 0.987631250 0.987081032 0.985981516 0.984883225 0.983786156 0.982690310
34.100000000 0.987533072 0.986982304 0.985881688 0.984782300 0.983684137 0.982587200
34.200000000 0.987433635 0.986882273 0.985780474 0.984679904 0.983580563 0.982482450
34.300000000 0.987332903 0.986780908 0.985677842 0.984576009 0.983475409 0.982376038
34.400000000 0.987230841 0.986678171 0.985573759 0.984470584 0.983368643 0.982267935
34.500000000 0.987127398 0.986574015 0.985468179 0.984363582 0.983260223 0.982158101
34.600000000 0.987022293 0.986468158 0.985360822 0.984254728 0.983149877 0.982046265
34.700000000 0.986916460 0.986361536 0.985252625 0.984144961 0.983038542 0.981933366
34.800000000 0.986808829 0.986253081 0.985142523 0.984033215 0.982925157 0.981818346
34.900000000 0.986699920 0.986143311 0.985031036 0.983920015 0.982810248 0.981701732
35.000000000 0.986589183 0.986031680 0.984917619 0.983804816 0.982693271 0.981582982
35.100000000 0.986477160 0.985918728 0.984802814 0.983688163 0.982574773 0.981462644
35.200000000 0.986363300 0.985803908 0.984686076 0.983569511 0.982454212 0.981340178
35.300000000 0.986247368 0.985686984 0.984567170 0.983448628 0.982331357 0.981215355
35.400000000 0.986130744 0.985569335 0.984447476 0.983326894 0.982207588 0.981089556
35.500000000 0.986011191 0.985448728 0.984324765 0.983202084 0.982080683 0.980960561
